name,class,mass,fall,year,lat,long,GeoLocation
Çanakkale,L6,4000,Fell,1964,39.8,26.6,"(39.800000, 26.600000)"
Épinal,H5,277,Fell,1822,48.18333,6.46667,"(48.183330, 6.466670)"
Łowicz,Mesosiderite-A3,59000,Fell,1935,52,19.91667,"(52.000000, 19.916670)"
Aïr,L6,24000,Fell,1925,19.08333,8.38333,"(19.083330, 8.383330)"
Aachen,L5,21,Fell,1880,50.775,6.08333,"(50.775000, 6.083330)"
Aarhus,H6,720,Fell,1951,56.18333,10.23333,"(56.183330, 10.233330)"
Abajo,H5,331,Found,1982,26.8,-105.41667,"(26.800000, -105.416670)"
Abar al' Uj 001,H3.8,194.34,Found,2008,22.72192,48.95937,"(22.721920, 48.959370)"
Abbott,H3-6,21100,Found,1951,36.3,-104.28333,"(36.300000, -104.283330)"
Abee,EH4,107000,Fell,1952,54.21667,-113,"(54.216670, -113.000000)"
Abernathy,L6,2914,Found,1941,33.85,-101.8,"(33.850000, -101.800000)"
Abo,H,1.2,Found,1840,60.43333,22.3,"(60.433330, 22.300000)"
Abu Moharek,H4,4500,Found,1997,27.23944,29.83583,"(27.239440, 29.835830)"
Acapulco,Acapulcoite,1914,Fell,1976,16.88333,-99.9,"(16.883330, -99.900000)"
Acfer 001,L6,6700,Found,1989,27.5,3.61667,"(27.500000, 3.616670)"
Acfer 002,H5,228,Found,1989,27.61667,3.85,"(27.616670, 3.850000)"
Acfer 003,H5,145,Found,1989,27.81667,4.03333,"(27.816670, 4.033330)"
Acfer 004,L6,1020,Found,1989,27.58333,3.81667,"(27.583330, 3.816670)"
Acfer 005,H3.9/4,115,Found,1989,27.6,3.83333,"(27.600000, 3.833330)"
Acfer 006,H3.9/4,561,Found,1989,27.63333,3.96667,"(27.633330, 3.966670)"
Acfer 007,L5,542,Found,1989,27.51667,3.65,"(27.516670, 3.650000)"
Acfer 008,H5,205,Found,1989,27.53333,3.7,"(27.533330, 3.700000)"
Acfer 009,L6,127,Found,1989,27.73333,4.08333,"(27.733330, 4.083330)"
Acfer 010,L6,276,Found,1989,27.75,4.1,"(27.750000, 4.100000)"
Acfer 011,H5,3800,Found,1989,27.75,4.16667,"(27.750000, 4.166670)"
Acfer 012,H6,98,Found,1989,27.8,4.16667,"(27.800000, 4.166670)"
Acfer 013,H5,490,Found,1989,27.83333,4.28333,"(27.833330, 4.283330)"
Acfer 014,H5,307,Found,1989,27.8,4.46667,"(27.800000, 4.466670)"
Acfer 015,L6,98,Found,1989,27.78333,4.28333,"(27.783330, 4.283330)"
Acfer 016,H4-5,111,Found,1989,27.71667,4.48333,"(27.716670, 4.483330)"
Acfer 017,L5,446,Found,1989,27.73333,4.4,"(27.733330, 4.400000)"
Acfer 018,H5,207,Found,1989,27.7,4.08333,"(27.700000, 4.083330)"
Acfer 019,L6,581,Found,1989,27.7,4.06667,"(27.700000, 4.066670)"
Acfer 020,H5,708,Found,1989,27.7,4.06667,"(27.700000, 4.066670)"
Acfer 021,H6,2140,Found,1989,27.55,3.61667,"(27.550000, 3.616670)"
Acfer 022,H3.7,192,Found,1989,27.51667,3.83333,"(27.516670, 3.833330)"
Acfer 023,H3.8,118,Found,1989,27.51667,3.91667,"(27.516670, 3.916670)"
Acfer 024,H5,1464,Found,1989,27.55,3.93333,"(27.550000, 3.933330)"
Acfer 025,H5,920,Found,1989,27.58333,3.96667,"(27.583330, 3.966670)"
Acfer 026,H5/6,88,Found,1989,27.61667,4.05,"(27.616670, 4.050000)"
Acfer 027,H5,206,Found,1989,27.66667,4.2,"(27.666670, 4.200000)"
Acfer 028,H3.8,3130,Found,1989,27.66667,4.25,"(27.666670, 4.250000)"
Acfer 029,H4,98,Found,1989,27.68333,4.33333,"(27.683330, 4.333330)"
Acfer 030,LL6,123,Found,1989,27.68333,4.41667,"(27.683330, 4.416670)"
Acfer 031,H5,2016,Found,1989,27.66667,4.35,"(27.666670, 4.350000)"
Acfer 032,L6,495,Found,1989,27.65,4.46667,"(27.650000, 4.466670)"
Acfer 033,L6,93,Found,1989,27.65,4.43333,"(27.650000, 4.433330)"
Acfer 034,L6,184,Found,1989,27.63333,4.35,"(27.633330, 4.350000)"
Acfer 035,H6,36,Found,1989,27.6,4.3,"(27.600000, 4.300000)"
Acfer 036,L5/6,112,Found,1989,27.58333,4.25,"(27.583330, 4.250000)"
Acfer 037,LL4-6,385,Found,1989,27.55,4.13333,"(27.550000, 4.133330)"
Acfer 038,H5,962,Found,1989,27.53333,4,"(27.533330, 4.000000)"
Acfer 039,L3.8,225,Found,1989,27.53333,3.91667,"(27.533330, 3.916670)"
Acfer 040,L5-6,146,Found,1989,27.46667,3.78333,"(27.466670, 3.783330)"
Acfer 041,L/LL6,134,Found,1989,27.43333,3.71667,"(27.433330, 3.716670)"
Acfer 042,H5,246,Found,1989,27.46667,3.83333,"(27.466670, 3.833330)"
Acfer 043,H4,120,Found,1989,27.51667,3.91667,"(27.516670, 3.916670)"
Acfer 044,L6,195,Found,1989,27.55,4,"(27.550000, 4.000000)"
Acfer 046,H5,1066,Found,1989,27.78333,4.7,"(27.783330, 4.700000)"
Acfer 047,L4,1440,Found,1989,27.83333,4.7,"(27.833330, 4.700000)"
Acfer 048,H4-5,115,Found,1989,27.55,4.08333,"(27.550000, 4.083330)"
Acfer 049,H5,82.9,Found,1989,27.41667,3.71667,"(27.416670, 3.716670)"
Acfer 050,H6,1394,Found,1989,27.65,4.5,"(27.650000, 4.500000)"
Acfer 051,L5,905,Found,1989,27.61667,4.41667,"(27.616670, 4.416670)"
Acfer 052,L5,58,Found,1989,27.75,4.15,"(27.750000, 4.150000)"
Acfer 053,H6,1937,Found,1989,27.73333,4.05,"(27.733330, 4.050000)"
Acfer 054,H5,2051,Found,1989,27.7,3.93333,"(27.700000, 3.933330)"
Acfer 055,H5,1338,Found,1989,27.5,3.98333,"(27.500000, 3.983330)"
Acfer 056,L4,129,Found,1989,27.46667,3.88333,"(27.466670, 3.883330)"
Acfer 058,LL5-6,277,Found,1989,27.38333,3.71667,"(27.383330, 3.716670)"
Acfer 059,CR2,281,Found,1989,27.51667,4.06667,"(27.516670, 4.066670)"
Acfer 060,H4,226,Found,1989,27.56667,4.16667,"(27.566670, 4.166670)"
Acfer 061,H4-5,105,Found,1989,27.6,4.25,"(27.600000, 4.250000)"
Acfer 062,H5,283,Found,1989,27.6,4.41667,"(27.600000, 4.416670)"
Acfer 063,Mesosiderite,716,Found,1989,27.61667,4.56667,"(27.616670, 4.566670)"
Acfer 064,L5,854,Found,1989,27.61667,4.56667,"(27.616670, 4.566670)"
Acfer 065,H4-5,1539,Found,1989,27.5,4.28333,"(27.500000, 4.283330)"
Acfer 066,LL3.8-6,517,Found,1990,27.63333,4.06667,"(27.633330, 4.066670)"
Acfer 067,H5,383,Found,1990,27.71667,4.78333,"(27.716670, 4.783330)"
Acfer 068,L6,1805,Found,1990,27.55,3.7,"(27.550000, 3.700000)"
Acfer 069,L6,941,Found,1990,27.53333,3.83333,"(27.533330, 3.833330)"
Acfer 070,H4/5,138,Found,1990,27.68333,4.48333,"(27.683330, 4.483330)"
Acfer 071,L6,1379,Found,1990,27.63333,4.28333,"(27.633330, 4.283330)"
Acfer 072,L5/6,162,Found,1990,27.63333,4.25,"(27.633330, 4.250000)"
Acfer 073,H5,2010,Found,1990,27.53333,3.85,"(27.533330, 3.850000)"
Acfer 074,L6,384,Found,1990,27.48333,3.83333,"(27.483330, 3.833330)"
Acfer 075,H5,1453,Found,1990,27.51667,3.73333,"(27.516670, 3.733330)"
Acfer 076,H5,183,Found,1990,27.7,4.35,"(27.700000, 4.350000)"
Acfer 077,L6,2538,Found,1990,27.63333,4.51667,"(27.633330, 4.516670)"
Acfer 078,H5,105,Found,1990,27.56667,4.15,"(27.566670, 4.150000)"
Acfer 079,L6,387,Found,1990,27.5,3.68333,"(27.500000, 3.683330)"
Acfer 080,L3.9,574,Found,1990,27.63333,4.51667,"(27.633330, 4.516670)"
Acfer 081,LL5-6,110,Found,1990,27.53333,3.86667,"(27.533330, 3.866670)"
Acfer 082,CV3,208,Found,1990,27.5,3.48333,"(27.500000, 3.483330)"
Acfer 083,L6,690,Found,1990,27.48333,3.63333,"(27.483330, 3.633330)"
Acfer 084,H5,6300,Found,1990,27.55,3.86667,"(27.550000, 3.866670)"
Acfer 085,H5,293,Found,1990,27.58333,3.95,"(27.583330, 3.950000)"
Acfer 086,CV3,173,Found,1990,27.66667,4.18333,"(27.666670, 4.183330)"
Acfer 087,CR2,163,Found,1990,27.7,4.26667,"(27.700000, 4.266670)"
Acfer 088,L6,200,Found,1990,27.75,4.43333,"(27.750000, 4.433330)"
Acfer 089,H5,682,Found,1990,27.63333,4.3,"(27.633330, 4.300000)"
Acfer 090,H5,290,Found,1990,27.5,3.83333,"(27.500000, 3.833330)"
Acfer 091,LL5-6,3487,Found,1990,27.45,4.11667,"(27.450000, 4.116670)"
Acfer 092,H5,244,Found,1990,27.66667,4.51667,"(27.666670, 4.516670)"
Acfer 093,L5,420,Found,1990,27.71667,4.13333,"(27.716670, 4.133330)"
Acfer 094,C2-ung,82,Found,1990,27.73333,4.43333,"(27.733330, 4.433330)"
Acfer 095,H3.7,104,Found,1990,27.71667,4.38333,"(27.716670, 4.383330)"
Acfer 096,L4-5,572,Found,1990,27.61667,4.2,"(27.616670, 4.200000)"
Acfer 097,CR2,63,Found,1990,27.51667,3.96667,"(27.516670, 3.966670)"
Acfer 098,H5,5500,Found,1990,27.46667,3.88333,"(27.466670, 3.883330)"
Acfer 099,H5,313,Found,1990,27.45,3.83333,"(27.450000, 3.833330)"
Acfer 100,H6,140,Found,1990,27.46667,3.95,"(27.466670, 3.950000)"
Acfer 101,L6,452,Found,1990,27.53333,4.16667,"(27.533330, 4.166670)"
Acfer 102,L3-5,346,Found,1990,27.66667,4.46667,"(27.666670, 4.466670)"
Acfer 103,H5,665,Found,1990,27.8,4.5,"(27.800000, 4.500000)"
Acfer 104,H4/5,992,Found,1990,27.63333,4.36667,"(27.633330, 4.366670)"
Acfer 105,L6,392,Found,1990,27.55,4.13333,"(27.550000, 4.133330)"
Acfer 106,LL6,1390,Found,1990,27.5,3.9,"(27.500000, 3.900000)"
Acfer 107,L6,105,Found,1990,27.45,3.75,"(27.450000, 3.750000)"
Acfer 108,H6,828,Found,1990,27.5,3.88333,"(27.500000, 3.883330)"
Acfer 109,H4/5,236,Found,1990,27.55,3.76667,"(27.550000, 3.766670)"
Acfer 110,L6,107,Found,1990,27.48333,3.8,"(27.483330, 3.800000)"
Acfer 111,H3-6,987,Found,1990,27.48333,3.8,"(27.483330, 3.800000)"
Acfer 112,LL4/5,216,Found,1990,27.65,4.03333,"(27.650000, 4.033330)"
Acfer 113,LL6,2906,Found,1990,27.56667,4.03333,"(27.566670, 4.033330)"
Acfer 114,CR2,43,Found,1990,27.6,3.96667,"(27.600000, 3.966670)"
Acfer 115,H6,287,Found,1990,27.73333,4.16667,"(27.733330, 4.166670)"
Acfer 116,L6,345,Found,1990,27.73333,4.16667,"(27.733330, 4.166670)"
Acfer 117,H4,178,Found,1990,27.73333,4.2,"(27.733330, 4.200000)"
Acfer 118,L6,752,Found,1990,27.66667,4.2,"(27.666670, 4.200000)"
Acfer 119,H3.8,121,Found,1990,27.65,4.23333,"(27.650000, 4.233330)"
Acfer 120,LL6,861,Found,1990,27.65,4.3,"(27.650000, 4.300000)"
Acfer 121,L5-6,427,Found,1990,27.68333,4.33333,"(27.683330, 4.333330)"
Acfer 122,L4/5,235,Found,1990,27.5,3.66667,"(27.500000, 3.666670)"
Acfer 123,H3.9,452,Found,1990,27.46667,3.76667,"(27.466670, 3.766670)"
Acfer 124,LL5-6,542,Found,1990,27.6,4.05,"(27.600000, 4.050000)"
Acfer 125,L6,3380,Found,1990,27.68333,4.35,"(27.683330, 4.350000)"
Acfer 126,LL5-6,280,Found,1990,27.51667,3.8,"(27.516670, 3.800000)"
Acfer 127,L6,699,Found,1990,27.7,4.3,"(27.700000, 4.300000)"
Acfer 128,L6,163,Found,1990,27.5,4.3,"(27.500000, 4.300000)"
Acfer 129,H3.7,162,Found,1990,27.6,4.2,"(27.600000, 4.200000)"
Acfer 130,H5,400,Found,1990,27.58333,4,"(27.583330, 4.000000)"
Acfer 131,LL6,171,Found,1990,27.58333,3.96667,"(27.583330, 3.966670)"
Acfer 132,H6,1621,Found,1990,27.5,3.76667,"(27.500000, 3.766670)"
Acfer 133,L3-5,362,Found,1990,27.5,3.83333,"(27.500000, 3.833330)"
Acfer 134,L5,1161,Found,1990,27.76667,4.53333,"(27.766670, 4.533330)"
Acfer 135,H5,124,Found,1990,27.55,4.03333,"(27.550000, 4.033330)"
Acfer 136,H5,324,Found,1990,27.46667,4.05,"(27.466670, 4.050000)"
Acfer 137,H4/5,106,Found,1990,27.58333,4.08333,"(27.583330, 4.083330)"
Acfer 138,L5,941,Found,1990,27.66667,4.08333,"(27.666670, 4.083330)"
Acfer 139,CR2,143,Found,1990,27.56667,4.08333,"(27.566670, 4.083330)"
Acfer 140,L5,171,Found,1990,27.56667,4.08333,"(27.566670, 4.083330)"
Acfer 141,H5,58,Found,1990,27.58333,3.85,"(27.583330, 3.850000)"
Acfer 142,L5,91,Found,1990,27.56667,4.35,"(27.566670, 4.350000)"
Acfer 143,L6,417,Found,1990,27.66667,4.45,"(27.666670, 4.450000)"
Acfer 144,L6,186,Found,1990,27.66667,4.28333,"(27.666670, 4.283330)"
Acfer 145,L6,869,Found,1990,27.66667,4.28333,"(27.666670, 4.283330)"
Acfer 146,H5,200,Found,1990,27.63333,4.08333,"(27.633330, 4.083330)"
Acfer 147,L6,140,Found,1990,27.6,4.11667,"(27.600000, 4.116670)"
